LFQ intensity 1	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 2	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	LFQ intensity 25	LFQ intensity 26	LFQ intensity 27	LFQ intensity 28	LFQ intensity 29	LFQ intensity 3	LFQ intensity 30	LFQ intensity 31	LFQ intensity 32	LFQ intensity 33	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36	LFQ intensity 37	LFQ intensity 38	LFQ intensity 39	LFQ intensity 4	LFQ intensity 40	LFQ intensity 41	LFQ intensity 42	LFQ intensity 43	LFQ intensity 44	LFQ intensity 45	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	N: N: Peptides	N: N: Razor + unique peptides	N: N: Unique peptides	N: N: Sequence coverage [%]	N: N: Unique + razor sequence coverage [%]	N: N: Unique sequence coverage [%]	N: N: Mol, weight [kDa]	N: N: Q-value	N: N: Score	N: N: Intensity	N: N: MS/MS count	T: T: Protein IDs	T: T: Majority protein IDs	T: T: Protein names	T: T: Gene names
22,6187	22,2735	23,4578	21,8518	23,7295	21,906	21,9921	22,8242	20,3973	22,8082	22,1504	21,9744	22,5342	21,8467	22,1345	22,5909	22,5556	22,5563	21,2123	21,7905	21,6109	22,8084	23,9566	22,856	21,852	23,2031	21,4175	22,085	21,0549	23,1297	22,8053	21,7035	22,7871	23,8177	21,7158	22,1919	21,635	23,1904	22,6757	24,9518	22,3036	22,4341	22,8201	23,9343	23,5031	2	2	2	12	12	12	19354	39541	47551	76977000	7	A4D0S4;A4D0S4-3;A4D0S4-2	A4D0S4;A4D0S4-3;A4D0S4-2	Laminin subunit beta-4	LAMB4
22,6154	22,0799	23,791	23,1436	21,9375	23,0453	21,6689	22,5758	23,314	22,4092	23,4464	22,5712	22,3684	21,3134	22,3261	22,2654	23,2003	21,9125	21,0343	23,6667	23,3719	23,4823	22,6634	23,2474	22,9225	22,3442	22,662	22,3669	21,7817	21,8523	22,0524	22,2969	23,0276	22,7238	21,3387	22,3905	22,1296	21,4529	22,6591	24,3985	22,0413	21,5313	20,5755	21,0553	21,7238	1	1	1	33	33	33	42111	40617	52268	111130000	17	A4D1P6-3;A4D1P6-2;A4D1P6	A4D1P6-3;A4D1P6-2;A4D1P6	WD repeat-containing protein 91	WDR91
22,9937	22,3036	22,8852	22,2922	23,0718	22,3934	21,6372	20,7165	22,7093	23,0717	22,3018	21,7031	23,2182	22,1164	21,9973	22,5743	22,876	22,4254	22,5308	29,8352	22,335	23,2095	23,0246	22,3974	23,7673	21,5716	22,5648	23,9094	22,8043	22,8304	21,9841	22,1041	22,6198	22,9187	21,9729	21,7306	23,1372	22,2104	22,3524	24,4658	21,82	21,1393	21,8466	21,6565	22,9235	10	3	1	106	63	36	12144	38462	43992	3197100000	4	A5A3E0;A0A0A6YYL3;Q6S8J3-3;A0JP26-2;Q6S8J3-2;Q6S8J7-2;Q6S5H5-2;Q6S8J7;Q6S5H5;A6NI47;B2RU33;H3BUK9;A0JP26-3;Q6S545;A0JP26	A5A3E0	POTE ankyrin domain family member F	POTEF
22,4606	22,842	22,7479	23,0306	20,7062	22,7953	22,4214	22,1607	22,2344	21,8504	22,2479	22,7938	23,1333	20,1753	22,5562	21,9785	21,0166	21,8333	21,982	21,8581	22,6057	22,4832	23,438	21,5212	22,9701	23,2858	21,7107	22,3909	22,5959	22,4144	23,0949	23,5265	21,8305	21,9916	22,2906	21,7552	22,029	23,4964	22,6059	23,9885	23,0629	22,2473	22,7537	21,1248	22,239	1	1	1	34	34	34	38658	31427	20133	26947000	1	A5D8V6	A5D8V6	Vacuolar protein sorting-associated protein 37C	VPS37C
24,5765	25,0625	24,9092	24,7462	24,8028	24,8989	24,8597	24,7971	24,9607	24,7822	25,0616	24,5649	25,115	24,9308	24,773	24,9003	24,5787	24,6288	24,7233	24,5581	24,8556	24,6631	24,3624	24,7652	24,3884	24,5757	25,0118	24,8811	24,9106	24,9947	24,6747	24,8586	24,9676	24,5388	24,7423	24,5776	25,0999	24,8577	24,7462	23,9388	25,0149	24,8446	24,8475	25,1459	24,8364	19	19	19	93	93	93	26638	0	33082	2169400000	230	A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	A5YKK6-2;A5YKK6;A5YKK6-3	CCR4-NOT transcription complex subunit 1	CNOT1
21,8889	21,5352	22,797	22,0004	23,0686	22,6344	21,7063	22,4373	22,6175	23,8027	22,5547	22,8665	27,5968	21,9207	21,8859	22,0369	23,021	21,9223	22,5086	22,6715	22,6407	22,8129	23,2285	21,9952	22,0762	22,8147	23,3811	21,1952	22,469	22,1795	21,7524	22,4852	22,1526	21,6751	22,8236	22,4698	21,7372	22,181	22,3199	24,565	21,4777	21,3209	22,4131	20,855	21,811	13	2	2	451	75	75	29117	0	60694	477710000	4	A6NCN2	A6NCN2	Putative keratin-87 protein	KRT87P
22,4277	23,0513	23,227	22,1228	22,2402	22,4672	23,1749	22,7191	24,2375	21,9245	23,2313	22,2112	23,9403	24,1856	22,5531	23,8597	23,779	24,1291	22,5823	23,3805	23,252	23,88	23,9156	23,0931	23,6925	23,6446	24,1588	23,6847	22,0818	23,6909	23,7812	22,6316	23,4727	24,1674	24,1078	21,5696	23,527	22,3004	24,2701	24,8604	21,9442	22,2005	22,7581	22,9403	21,4575	5	5	5	209	209	209	34006	0	41567	691870000	55	A6NDG6	A6NDG6	Phosphoglycolate phosphatase	PGP
22,3607	22,8641	22,4934	21,6611	23,0388	22,1157	22,0375	20,9727	23,9549	22,3123	21,8543	22,4364	23,157	24,0488	22,4804	22,6955	22,6985	23,5249	21,9595	21,664	24,0761	22,0781	22,8782	23,6399	23,4964	24,3076	22,4915	21,4251	22,6327	23,1328	22,5958	22,4231	22,5035	21,9861	22,8965	23,0617	22,5446	23,0894	22,9678	23,9923	21,4702	21,6823	21,8022	22,2852	22,3702	3	3	3	184	184	184	3362	0	39876	612510000	35	A6NDU8	A6NDU8	UPF0600 protein C5orf51	C5orf51
23,1257	23,5006	22,7545	23,0814	23,3874	23,2946	22,022	22,3221	23,6155	23,0506	22,0872	21,8495	24,3511	23,1635	22,192	21,1002	23,0219	20,9424	22,4186	22,4617	23,6897	22,8661	23,3908	22,2029	22,2313	23,0106	22,3404	21,9472	21,8161	23,0464	23,7516	21,0437	21,858	22,7071	21,5373	21,6696	23,2551	21,9543	23,5727	22,9705	22,19	21,9984	22,2304	22,2453	22,014	2	1	1	59	42	42	45517	17071	28199	3514500	0	A6NHL2-2;A6NHL2	A6NHL2-2;A6NHL2	Tubulin alpha chain-like 3	TUBAL3
22,1457	22,8441	23,037	22,7038	22,7417	21,9843	22,5603	22,1198	21,3764	23,1828	22,1165	20,8777	21,9432	24,9884	22,2229	21,4488	21,0501	23,0174	22,081	22,5034	22,5975	21,631	22,5953	23,2483	21,6485	21,1035	23,5678	22,0255	22,2523	22,1419	22,8755	22,3328	21,0614	22,5128	22,4985	22,1169	22,5427	22,2544	21,8825	24,0716	22,2621	22,4783	23,1694	22,1938	21,0238	2	2	2	66	66	66	34803	10646	32581	101620000	2	A6NHQ2;P22087	A6NHQ2;P22087	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1;rRNA 2-O-methyltransferase fibrillarin	FBLL1;FBL
23,2042	21,498	23,7609	23,3368	21,8253	22,8572	22,99	24,1466	22,5307	21,8332	23,0833	23,0556	22,105	21,4586	22,2233	22,6952	22,7633	22,0681	22,7542	25,0657	22,1816	22,4552	23,0247	22,6227	23,1282	21,7651	21,8808	23,8029	22,0851	22,9923	22,3583	22,3663	23,3308	22,4523	22,294	21,6956	21,9503	22,4466	22,2252	24,139	21,56	23,2574	22,5841	21,4431	21,1931	5	5	5	57	57	57	1611	0	20192	116720000	4	A8K2U0;A8K2U0-2	A8K2U0	Alpha-2-macroglobulin-like protein 1	A2ML1
22,7874	22,048	22,5423	22,7892	22,8239	22,5761	22,0058	21,3202	22,6122	22,3042	23,1739	21,9485	22,0667	20,9473	21,9114	22,5636	22,8215	21,9753	22,9368	22,0967	22,7682	21,9655	23,5842	22,6776	22,4324	21,854	23,2741	22,6458	22,6899	22,533	22,728	21,9658	23,1635	21,5381	22,9004	21,6998	21,2072	22,6894	23,4266	24,7005	23,5075	21,711	21,9436	23,4192	21,8506	1	1	1	37	37	37	42233	46404	81391	173970000	29	A8MXV4	A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19
23,5385	22,0954	23,1889	23,103	21,8264	23,0418	22,6739	22,5029	22,7437	22,754	22,6892	22,0428	22,1539	21,8311	22,9421	23,1871	22,552	24,0161	21,658	25,2802	21,9017	23,2897	22,9471	22,868	22,1158	24,3031	23,0173	24,0801	22,1231	23,5615	22,5217	22,3389	21,9528	22,6419	22,0783	22,2302	22,0564	23,3384	22,2238	24,4289	22,7632	22,8132	23,0013	21,4223	23,2116	1	1	1	62	62	62	24238	16961	27541	456540000	28	B2RPK0;P09429	B2RPK0;P09429	Putative high mobility group protein B1-like 1;High mobility group protein B1	HMGB1P1;HMGB1
22,46	22,3218	22,3084	22,0241	21,3674	22,0403	23,2372	21,9347	23,1272	22,9086	23,2431	22,7614	22,2052	21,9021	22,5463	22,6918	23,172	21,7443	22,5197	23,0068	22,7535	22,9801	23,1552	22,7093	23,1304	22,6053	22,7901	23,3632	22,8868	22,1632	21,2056	22,6405	21,6474	23,4824	21,8568	22,2845	21,0532	21,9679	23,5049	24,2677	22,658	21,9211	22,6518	23,7371	21,6984	2	2	2	75	75	75	38484	39777	48637	315850000	28	B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6	B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6	Golgi pH regulator A;Golgi pH regulator B	GPR89A;GPR89B
21,6746	22,13	23,2913	21,6704	22,9217	21,5795	21,4286	22,0862	22,5779	23,2305	22,9389	23,6202	23,3003	22,0674	22,0215	21,9646	21,2294	23,7551	23,3564	29,6088	22,8625	22,387	23,9059	22,5502	22,5569	22,3951	23,7184	22,7395	23,2207	22,4742	22,2486	22,4273	22,1012	21,5691	22,2189	22,8734	24,0748	23,5238	22,6902	24,6127	22,2468	22,3329	22,0726	21,913	22,0401	4	4	2	22	22	79	23063	0	73986	2736200000	10	B9A064;P0DOX8;P0CG04;A0A0A0MT76	B9A064;P0DOX8;P0CG04	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	IGLL5;IGLC1
23,93	23,4838	22,7118	24,0093	23,6081	24,0209	23,8557	23,6463	23,6889	23,9973	24,0825	23,9181	23,6856	23,2663	23,6841	23,9123	23,4784	23,7258	21,9325	22,5262	23,2931	23,6986	23,919	23,6087	24,0288	23,7875	23,8628	23,8011	23,7152	23,8054	23,6651	23,9749	23,8804	23,8603	23,6935	22,8187	23,8842	22,9037	24,1589	24,6658	24,1761	23,8757	23,937	21,6908	23,8228	5	5	2	145	145	54	49994	0	52706	812670000	92	C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3	C4AMC7;Q6VEQ5;A8K0Z3	Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1	WASH3P;WASH2P;WASH1
25,1458	25,3547	25,0297	25,4206	25,6045	25,3705	25,4075	25,3417	25,2418	25,0404	21,5179	25,4505	22,0427	25,0046	22,8095	21,1473	25,4249	25,0348	22,608	26,1112	21,739	25,095	25,1829	22,4864	25,3555	25,3988	24,8626	25,5251	25,4273	25,3918	25,5366	21,307	23,7973	25,3892	25,2483	25,0071	25,3588	24,979	25,0401	24,7811	25,5013	25,4204	25,3691	25,5949	25,3548	3	3	3	195	195	195	23384	0	32683	2555600000	108	Q13765;E9PAV3-2;E9PAV3	Q13765;E9PAV3-2;E9PAV3	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA
22,2983	22,2608	22,2576	24,8318	24,6154	21,6146	22,014	21,8877	24,8752	23,3199	22,1434	24,2872	23,7787	22,9902	21,8525	22,0122	23,1132	23,537	22,2526	21,9991	22,4391	21,099	23,5464	23,0993	22,9591	22,6322	22,0018	25,4365	21,983	22,3097	22,373	22,6842	22,3855	22,7497	21,3994	21,8281	25,8007	21,997	26,1702	26,0997	22,3579	21,8841	21,8243	24,4406	21,1188	3	3	3	219	219	219	13407	38023	41997	913360000	52	E9PQ53;O95298;O95298-3;O95298-2	E9PQ53;O95298;O95298-3	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2;NADH dehydrogenase [ubiquinone] 1 subunit C2	NDUFC2-KCTD14;NDUFC2
22,464	22,4133	22,4903	22,5833	22,274	22,6732	21,7092	21,8105	22,7735	23,0848	22,4522	22,873	23,1463	22,6097	22,1791	22,9157	21,5532	22,4474	21,6044	21,8122	23,1654	22,0476	23,1596	22,7334	22,6138	22,8134	22,9764	22,2454	23,4021	23,1625	22,3596	22,551	23,2144	22,494	23,1475	22,4187	22,1402	23,5626	22,172	25,0021	22,5127	19,8252	22,1377	21,9861	22,9038	2	2	2	75	75	75	33615	3967	18168	34563000	5	O00115-2;O00115	O00115-2;O00115	Deoxyribonuclease-2-alpha	DNASE2
23,6825	23,6108	24,2153	20,7797	22,8154	24,1688	23,938	22,347	24,0581	23,7031	22,4822	22,0753	23,4106	24,3202	24,0839	24,1455	23,738	22,1264	23,6878	23,9718	22,595	22,5662	23,0762	21,9596	24,0732	22,1792	22,8199	21,0602	23,5631	21,3805	21,5266	22,9225	23,45	22,914	21,6151	24,1847	20,9096	22,2032	22,8935	25,2131	22,9495	22,6721	23,6319	23,7602	21,7032	6	6	6	134	134	134	72911	0	22116	672160000	54	O00116	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS
22,9286	22,6349	23,3057	21,953	22,0878	24,0081	23,2598	22,6914	21,8994	22,0814	22,5683	22,3864	23,2644	23,2525	23,2073	23,6091	22,6906	21,9464	22,7415	21,8276	23,2935	22,6609	22,3302	23,0633	22,9508	22,8971	21,5669	21,8428	22,7144	22,8518	22,9464	23,1471	23,0772	21,8556	23,2582	22,8699	21,632	21,8066	23,0972	26,4942	22,2559	21,287	23,8803	22,4165	23,5996	11	11	11	177	177	177	75042	0	20213	418550000	71	O00139-2;O00139-1;O00139-5;O00139;O00139-4	O00139-2;O00139-1;O00139-5;O00139;O00139-4	Kinesin-like protein KIF2A	KIF2A
22,4119	23,5089	22,7814	22,8029	23,5118	23,818	23,4058	23,5785	22,7905	21,6266	22,37	23,4397	23,7944	22,1864	20,8568	23,2454	22,909	23,0265	22,4215	22,3493	23,9035	22,9266	23,3729	23,1384	23,0233	23,4446	21,9747	23,5252	23,2529	23,2788	23,8159	23,5696	23,9106	22,6393	23,3738	22,9659	23,2499	23,1841	23,9907	23,5248	22,5732	22,4926	22,3852	21,9539	22,4161	4	4	4	226	226	226	27561	38285	4337	530870000	70	O00142-2;O00142-3;O00142;O00142-6;O00142-5;O00142-4	O00142-2;O00142-3;O00142;O00142-6;O00142-5;O00142-4	Thymidine kinase 2, mitochondrial	TK2
25,7585	23,8899	25,6367	22,4244	26,2836	25,2006	25,1768	22,4482	22,6025	24,6436	25,0612	25,0366	25,3113	24,3697	25,4537	24,6281	25,5051	24,5129	21,6988	24,8997	24,78	25,5825	25,9822	25,4213	25,5994	25,4364	21,7457	25,8532	22,375	25,909	25,0776	25,3689	25,1778	25,4278	24,7727	20,6132	25,1414	22,0231	25,3147	23,8338	22,493	25,4049	24,7875	23,3386	22,3538	8	8	8	362	362	362	36071	0	24736	2422200000	112	O00151	O00151	PDZ and LIM domain protein 1	PDLIM1
22,0351	21,6532	23,4717	22,2797	22,1905	22,3104	22,3422	22,2087	23,3368	21,8551	23,0077	22,2818	22,1831	22,2798	22,3509	21,5119	23,0758	22,22	22,6805	22,594	23,0543	23,1534	21,5333	22,6245	23,259	21,3632	22,3403	22,9765	22,8628	22,4795	22,8808	22,5709	22,0994	21,1025	22,6265	21,2808	22,8278	22,8875	23,0668	24,1786	21,8349	21,7659	23,2247	21,5915	23,7094	5	5	5	248	248	248	27041	54675	13686	338720000	8	O00154-2;O00154-3;O00154-4;O00154-6;O00154-5;O00154-7;O00154;Q6ZUV0	O00154-2;O00154-3;O00154-4;O00154-6;O00154-5;O00154-7;O00154	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7
29,9514	29,9379	29,7121	29,9352	29,7938	29,8975	29,8634	29,9581	29,9229	29,9456	29,9154	29,9237	29,8659	30,2617	29,8341	29,8171	29,929	30,2159	30,2556	30,1239	30,2598	30,1198	29,8599	30,0712	30,1029	30,1573	29,9643	30,0421	30,1415	30,1309	30,1783	30,0982	30,076	29,9828	30,0789	30,0048	29,6587	29,7677	29,9097	30,2132	30,0831	29,9331	29,9657	29,9633	30,0359	49	49	1	488	488	1	11963	0	32331	75453000000	1890	O00159-3;O00159	O00159-3;O00159	Unconventional myosin-Ic	MYO1C
23,1615	24,8903	22,8732	24,9024	22,4966	22,1277	21,7467	21,4193	22,6329	21,4273	21,5399	24,4955	22,6273	24,9071	24,6124	24,9889	22,7383	24,8536	21,7686	21,9316	22,279	25,076	22,421	24,8096	25,0067	21,9112	22,7498	25,0435	25,0476	25,1015	21,2403	25,0228	22,1856	23,0715	22,3684	25,0079	22,8912	25,2374	25,1195	23,9315	22,6443	24,515	21,6042	24,9622	23,2159	49	1	1	493	8	8	11791	36844	18522	1382000000	41	O00159-2	O00159-2	Unconventional myosin-Ic	MYO1C
22,3233	21,9453	23,3869	23,238	21,3974	20,9183	22,0447	21,1363	22,124	22,5393	22,8373	22,0657	21,8629	22,8018	21,614	22,0692	21,4183	21,8321	22,4305	23,0932	22,8335	22,0616	22,2372	22,7755	22,7592	22,6364	21,801	22,3075	21,7427	21,2174	22,3569	23,3117	22,3739	22,5194	22,408	22,7753	22,9409	23,8257	23,3682	25,1663	21,5147	21,5762	21,7029	22,794	21,2256	2	2	2	88	88	88	37664	4902	96055	272030000	38	O00170	O00170	AH receptor-interacting protein	AIP
22,6995	22,785	23,0755	21,7155	22,1192	21,7229	22,3984	22,6792	22,8346	23,0266	22,2754	22,0264	22,1059	20,6999	21,8747	22,3291	21,6948	22,6184	22,8088	23,0702	22,5313	22,4655	22,8172	23,0372	21,6251	22,1119	22,5939	22,7339	21,741	21,6706	21,5179	23,5625	22,4644	22,7523	21,8486	22,2867	21,8517	21,7488	23,6062	24,3084	22,1344	22,1694	22,2979	21,4173	22,2691	2	2	2	36	36	36	72453	37286	39436	61568000	9	O00178	O00178	GTP-binding protein 1	GTPBP1
22,9995	21,7501	23,2554	22,2571	22,2513	21,5787	21,9005	21,3492	22,3593	22,7963	22,7165	22,2932	23,3418	23,6624	21,8678	24,0983	21,8358	21,3394	22,5217	22,5633	22,6764	22,5986	22,4352	23,0561	22,9441	22,1756	23,567	22,6584	21,3835	22,4643	22,5968	22,4778	21,8602	22,7325	22,8214	22,8691	21,9593	21,2103	23,6299	25,2831	22,8636	21,3923	20,6834	21,6577	21,1247	3	3	3	125	125	125	3469	46555	81856	110440000	9	O00182-3;O00182-2;O00182-6;O00182;O00182-5;O00182-4;Q3B8N2-2;Q6DKI2;Q3B8N2	O00182-3;O00182-2;O00182-6;O00182;O00182-5;O00182-4	Galectin-9	LGALS9
22,5637	22,3747	22,4194	22,7876	23,9733	24,2283	22,3066	21,3972	24,4793	24,2105	21,6666	22,0879	22,7036	24,2434	24,3518	24,2964	24,1367	22,2388	21,3097	24,2315	23,9369	24,2174	22,1619	22,3037	22,1805	24,1246	23,1139	23,197	21,576	22,3067	21,5266	22,3286	21,8624	21,5583	21,9637	22,6465	22,7749	22,9327	24,2119	24,6432	23,6533	21,7784	22,6998	21,335	20,9438	6	6	6	106	106	106	67764	47506	86996	773450000	47	O00186	O00186	Syntaxin-binding protein 3	STXBP3
