LFQ intensity 1	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 2	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	LFQ intensity 25	LFQ intensity 26	LFQ intensity 27	LFQ intensity 28	LFQ intensity 29	LFQ intensity 3	LFQ intensity 30	LFQ intensity 31	LFQ intensity 32	LFQ intensity 33	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36	LFQ intensity 37	LFQ intensity 38	LFQ intensity 39	LFQ intensity 4	LFQ intensity 40	LFQ intensity 41	LFQ intensity 42	LFQ intensity 43	LFQ intensity 44	LFQ intensity 45	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	N: N: Peptides	N: N: Unique peptides	N: N: Sequence coverage [%]	N: N: Unique sequence coverage [%]	N: N: Mol. weight [kDa]	N: N: Score	N: N: Intensity	N: N: MS/MS count	T: T: Protein IDs	T: T: Majority protein IDs	T: T: Protein names	T: T: Gene names	T: T: id
23,8332	20,9074	25,1955	22,0113	21,5154	22,3279	24,4117	23,6416	22,0416	21,8441	22,537	19,9497	22,0028	20,5744	24,9233	25,0291	24,8967	25,64	25,0073	25,3695	25,2735	25,6086	22,4127	25,4337	25,1448	25,9611	26,0638	25,5198	25,7159	22,9461	22,7506	25,5894	24,8104	21,6574	21,7231	26,2151	24,5062	25,4245	24,6062	24,7953	22,7248	22,5198	22,3715	24,1658	22,5437	17	6	525	239	49129	2061	1981500000	113	O00148;O00148-2;O00148-3	O00148;O00148-2;O00148-3	ATP-dependent RNA helicase DDX39A	DDX39A	62
21,7488	22,0782	21,4906	21,7645	21,7161	22,5655	21,649	22,5903	23,5462	21,2478	23,5889	20,8223	22,4743	23,9198	20,4825	23,7124	24,1507	24,1308	22,1694	21,8954	21,5295	21,3299	21,7842	22,289	21,9531	22,268	24,2213	24,0267	22,5274	22,7884	23,6253	22,3625	21,8817	23,3031	22,4911	22,9465	21,8771	21,9708	21,779	22,816	21,8112	21,2381	23,0012	22,1101	20,9061	7	7	31	31	36071	14798	771950000	59	O00151	O00151	PDZ and LIM domain protein 1	PDLIM1	63
28,2899	26,8246	27,2869	26,5117	26,5704	27,3839	27,3529	26,7304	26,642	27,2474	27,0093	23,7478	28,2415	27,0114	27,7937	27,7828	27,4787	27,2508	26,7681	26,9752	27,0333	27,2405	26,4296	27,0276	26,8887	27,4631	27,5667	27,5324	27,2736	27,1493	27,7146	27,6388	27,437	26,7314	27,8579	26,9595	26,4614	26,8367	27,398	27,7038	28,8391	26,3049	26,4392	27,2974	27,1732	49	1	513	8	11791	32331	41506000000	1223	O00159-2	O00159-2	Unconventional myosin-Ic	MYO1C	66
22,0804	22,0356	22,3865	21,9193	22,1348	21,9052	22,0432	21,9613	22,0986	21,6374	23,1951	19,7833	21,8298	22,6523	21,4898	22,6744	22,7008	22,5703	21,4483	22,1836	23,0359	22,4087	22,455	21,8629	22,4793	22,8024	22,8494	22,4101	23,0107	22,6531	22,8604	21,9329	22,6846	21,17	23,1667	22,7999	21,9892	21,6454	23,2724	23,2821	22,328	21,8644	22,6996	22,252	22,8301	3	3	57	57	67764	81738	221220000	27	O00186	O00186	Syntaxin-binding protein 3	STXBP3	68
21,6131	22,6504	23,6273	23,489	22,6703	23,5453	22,161	23,7553	23,5518	23,2893	23,6484	20,189	22,9468	24,0023	23,9624	24,3347	24,1625	24,2409	23,4331	23,5929	23,755	24,097	22,9258	23,7031	24,0229	24,4849	24,4502	24,7097	24,7256	24,5384	24,9883	24,705	24,5221	23,1491	24,9405	24,3447	23,6148	23,6607	24,0356	24,4836	21,9105	22,9559	23,5722	23,4512	21,7439	10	10	117	117	11619	21044	1467000000	115	O00203-3;O00203;Q13367;Q13367-4;Q13367-3	O00203-3;O00203	AP-3 complex subunit beta-1	AP3B1	69
24,4168	25,1251	25,4606	25,2752	25,0579	25,4009	24,9924	25,2053	24,8285	24,3897	25,1039	22,3584	25,2802	24,8946	25,4946	25,7826	25,8511	26,2176	25,6002	25,681	25,9333	25,8222	24,6938	25,9719	25,8518	26,4222	26,5039	26,5473	26,4835	26,0303	26,8615	26,3961	26,0897	25,1544	26,4059	26,2439	25,121	25,6398	25,7174	26,1945	24,3122	24,6948	25,1173	25,0561	25,2363	19	19	443	443	47463	85434	11852000000	438	O00231;O00231-2	O00231;O00231-2	26S proteasome non-ATPase regulatory subunit 11	PSMD11	72
24,3504	24,9719	25,3096	24,3533	24,7008	24,9616	23,9506	25,3575	24,882	24,6855	24,6978	20,3864	25,2217	25,2109	25,4351	25,8481	25,3888	26,2458	25,3984	25,7162	25,7872	26,1886	24,0535	25,6056	25,8448	26,8318	26,933	26,6573	26,6865	26,2789	27,0198	26,7621	26,0945	25,098	26,6628	26,3783	25,3254	25,9052	25,9522	26,2455	24,5111	24,1505	24,4541	25,055	24,8478	17	17	436	436	52904	12815	6620700000	253	O00232;O00232-2	O00232;O00232-2	26S proteasome non-ATPase regulatory subunit 12	PSMD12	73
21,1119	21,9057	22,9594	21,5368	22,0782	21,3597	21,5904	21,8228	22,299	21,5644	21,2445	20,041	22,4492	21,6012	22,0111	23,3137	22,7332	23,9729	23,487	23,6285	23,7701	23,8995	21,992	21,6532	22,2683	24,2089	24,1114	23,9563	24,4804	23,6639	24,26	24,3983	23,5718	21,6671	23,0664	24,4581	21,1556	23,919	23,465	23,0461	22,0167	21,6361	22,3751	22,3997	22,1751	6	6	192	192	68023	79102	1164100000	40	O00255;O00255-2;O00255-3	O00255;O00255-2;O00255-3	Menin	MEN1	75
23,8969	25,8907	25,9887	26,4537	26,0833	25,6866	25,7688	26,2215	26,0592	25,905	25,5323	21,9438	25,7553	26,9913	26,6738	27,1916	27,656	26,9445	26,2769	26,4096	26,3237	26,6663	25,07	25,8537	26,8809	26,5558	26,5966	26,9945	26,6483	27,3095	27,5519	26,9141	27,0883	26,5722	27,7597	26,8401	26,4955	25,855	27,0552	27,2994	25,7012	26,2167	26,3953	26,2409	26,1667	11	10	472	426	21671	17135	18096000000	497	O00264;O00264-2	O00264;O00264-2	Membrane-associated progesterone receptor component 1	PGRMC1	76
21,5842	20,7615	22,0948	21,4978	22,7152	21,7553	22,549	23,4068	21,6884	21,0098	22,3842	20,8282	21,4405	21,3546	22,9322	22,2256	22,2481	21,9658	22,6233	21,7768	21,5755	22,8068	21,4654	23,6104	22,9722	23,6176	24,1585	22,8463	24,0818	23,1363	23,5237	23,8096	22,184	22,411	23,3717	23,4081	22,5095	23,7262	23,1351	22,1851	20,9819	22,4045	22,3052	22,1055	22,771	12	12	166	166	121	39671	534450000	53	O00267;O00267-2	O00267;O00267-2	Transcription elongation factor SPT5	SUPT5H	77
24,3514	25,0454	25,4966	24,5859	24,7064	25,3252	24,8194	24,9105	24,9371	24,5026	25,3377	22,826	25,5707	23,1689	24,8639	25,0622	25,0541	25,1596	23,9081	23,7671	24,431	24,3081	24,7644	24,4771	23,7872	24,334	24,0868	24,415	24,2487	24,18	24,452	24,4462	24,2874	24,6126	24,1906	23,7809	22,8704	23,4055	23,9492	23,7864	24,3221	24,6894	25,1409	25,078	25,0455	21	21	258	258	11066	83284	3641600000	273	O00291-3;O00291;O00291-4	O00291-3;O00291;O00291-4	Huntingtin-interacting protein 1	HIP1	79
21,5255	25,3237	25,4331	25,48	26,0511	25,0225	25,4313	26,4523	26,5969	26,13	26,2727	20,3862	26,5891	26,4231	27,1148	27,4245	27,9772	26,9641	26,5079	26,3685	26,5165	26,908	25,1908	26,3085	27,4297	27,647	27,6129	28,1033	27,1779	27,8486	28,0034	27,4795	27,7886	26,3329	28,3928	27,7494	26,8582	26,4368	27,3867	28,0348	22,1194	25,6646	26,1795	25,8936	25,8157	15	15	805	805	26922	18164	20786000000	574	O00299	O00299	Chloride intracellular channel protein 1	CLIC1	80
22,1961	22,2628	22,2535	23,2814	22,3561	21,3527	21,8376	21,927	20,7464	21,4276	22,3046	20,7545	23,5164	20,7052	21,9376	21,8692	22,3473	22,6241	21,8238	22,0501	21,7192	22,0237	21,995	21,9652	22,542	21,3888	22,6114	22,8757	22,759	23,5419	23,1869	22,5809	22,4044	21,8343	21,594	22,1502	22,1942	21,5246	21,8183	22,7504	21,3341	21,9735	21,6794	22,3242	21,6799	2	2	75	75	46026	84573	58386000	8	O00300	O00300	Tumor necrosis factor receptor superfamily member 11B	TNFRSF11B	81
23,5399	24,5261	24,5924	24,4966	24,8221	24,5789	24,1237	25,3845	24,652	23,8739	25,0308	20,4935	24,6833	23,8104	25,0684	22,5502	25,6699	22,7106	21,8024	21,4266	22,4889	21,8033	24,1767	22,1875	21,584	23,1328	22,0226	22,7588	21,8858	24,6753	25,0699	22,4715	25,0772	24,4026	25,6169	24,8379	24,0653	21,2464	24,3449	24,6169	24,1159	24,069	24,7631	24,396	24,9079	5	5	174	174	37563	57117	1370600000	108	O00303	O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F	82
21,337	21,5617	22,3771	21,319	22,1774	21,3005	23,2971	21,849	20,8128	20,8722	22,6313	21,3259	22,2943	22,0302	22,6649	22,1826	21,9859	21,9022	22,7564	21,64	23,0223	22,9578	21,2235	21,8191	22,6498	23,4401	22,3638	22,4216	23,0864	22,1983	24,0876	21,9046	22,86	22,8568	22,6213	22,3808	21,4468	21,9094	21,964	21,7882	22,34	22,6972	21,0108	22,319	22,4545	6	6	129	129	6686	17028	272770000	42	O00391-2;O00391	O00391-2;O00391	Sulfhydryl oxidase 1	QSOX1	84
22,2649	23,5244	23,3661	23,4261	23,165	22,5581	21,7189	24,476	24,1255	23,4167	24,2279	19,8475	24,6222	24,3028	24,6722	25,2245	25,6133	24,4164	23,6804	23,8941	23,0584	24,3129	21,6318	22,7044	25,0714	25,0657	25,6929	26,2972	25,3461	25,8755	26,7675	25,9011	26,694	23,9554	27,4502	26,0538	25,2277	23,062	25,8954	26,5985	22,6821	23,018	22,9017	23,1345	22,9347	27	2	377	2	12363	15305	6462700000	401	O00410;O00410-3;O60518	O00410;O00410-3	Importin-5	IPO5	85
21,8995	22,2728	21,7014	21,2416	22,6964	22,87	21,9469	21,2918	21,9951	21,3672	23,9056	20,3855	21,6023	21,4059	22,382	22,8226	21,697	25,1887	24,4311	21,8849	25,0618	24,6259	21,7952	24,8203	25,0464	25,5867	25,7284	25,0725	25,2505	22,2964	23,1082	25,7285	21,7732	21,8424	22,197	21,2681	21,5799	25,2604	21,4645	25,282	22,2046	21,9568	21,7555	21,6207	22,8954	3	3	131	131	17561	41121	1063600000	53	O00422;O00422-2	O00422;O00422-2	Histone deacetylase complex subunit SAP18	SAP18	86
22,558	22,2683	23,0208	22,7657	22,4522	22,1883	21,5396	23,0282	22,0639	21,0376	22,0955	20,4265	21,7852	21,9218	22,3426	22,65	22,7458	22,5862	21,8668	22,1552	22,1275	21,9952	22,2252	21,1242	22,4669	22,4033	22,9132	22,454	22,0189	22,09	23,3169	23,4341	22,1582	22,997	24,0176	22,4887	21,782	21,9512	23,0675	23,3636	22,9651	21,6679	21,6013	21,8386	22,8356	13	13	249	249	78099	24477	302730000	48	O00429-4;O00429-5;O00429-3;O00429-9;O00429-2;O00429;O00429-8;O00429-6;O00429-7	O00429-4;O00429-5;O00429-3;O00429-9;O00429-2;O00429;O00429-8;O00429-6;O00429-7	Dynamin-1-like protein	DNM1L	88
21,6125	22,6674	21,2455	22,952	23,042	22,2313	22,927	23,5192	23,2616	22,7244	23,2966	19,7487	23,8836	22,3119	22,9653	22,5072	23,4823	22,3973	22,2569	22,0579	22,305	22,9893	23,3026	22,6286	22,993	22,8282	22,4048	23,9143	22,4375	23,478	22,7011	23,2921	23,3893	23,1621	23,017	23,3163	21,8803	21,6888	22,9382	23,2446	21,8556	23,0325	23,3889	22,9016	23,2148	5	5	178	178	39336	14465	516250000	70	O00442;O00442-2	O00442;O00442-2	RNA 3-terminal phosphate cyclase	RTCA	89
25,1693	25,305	23,1012	25,6252	25,708	25,3079	22,8167	25,8875	25,2588	25,248	21,9536	22,7525	25,9022	23,2496	21,4776	22,7352	22,0419	22,3766	21,5777	22,4839	21,3086	22,658	25,2492	21,731	22,5825	24,7273	22,2486	22,3296	21,9412	21,9344	23,3225	22,2551	21,8037	25,292	23,8985	21,5838	22,2892	22,278	22,4738	25,4201	25,0899	25,3722	25,6761	25,663	25,392	7	7	138	138	81879	52628	1779300000	96	O00461	O00461	Golgi integral membrane protein 4	GOLIM4	90
24,2989	24,6183	25,6333	25,0334	25,256	25,5271	25,3125	25,711	25,4024	25,1656	25,6648	22,4415	26,0198	25,6863	25,6273	26,0848	26,3569	26,271	25,6851	25,5993	25,9329	26,0929	24,9237	25,3242	26,1869	26,6174	26,4845	26,3017	26,4821	26,5686	26,8666	26,4261	26,2687	25,3708	27,01	26,4486	25,4566	25,9052	26,2442	26,3889	24,7995	25,0609	25,0891	24,9389	24,7807	20	20	31	31	87097	82773	9650500000	407	O00469-2;O00469;O00469-3	O00469-2;O00469;O00469-3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	91
20,924	21,8802	22,3304	22,4668	23,0153	21,6524	22,0093	21,7533	22,1917	21,8905	22,5192	20,112	22,6672	22,4659	22,6595	24,3146	22,1856	24,9644	23,9025	22,4898	22,2616	22,7038	21,9434	22,2678	22,6225	22,2233	22,3195	22,5296	24,8079	22,708	25,1311	21,9144	21,5876	22,1434	23,4699	22,0442	22,352	21,0646	22,3013	22,027	21,9381	22,2918	22,0879	22,0815	22,3486	7	7	226	226	43016	10707	695650000	41	O00470;O00470-2;O14770-6;O14770-7;O14770-8;O14770-3;O14770-2;O14770-4;O14770;O14770-5;A6NDR6;Q99687-3;Q99687;Q99687-2;A8K0S8	O00470;O00470-2;O14770-6;O14770-7;O14770-8;O14770-3;O14770-2;O14770-4;O14770	Homeobox protein Meis1;Homeobox protein Meis2	MEIS1;MEIS2	92
21,4707	21,8193	22,2722	22,4992	22,5167	23,8809	21,9495	24,7568	21,757	24,0593	22,0987	20,9848	22,4529	24,0323	24,461	25,0482	24,31	22,3581	24,4045	20,9344	24,9434	24,9721	23,6695	24,4937	24,6079	25,5852	25,6404	24,7503	25,2027	22,0673	25,3312	25,4961	25,0048	23,3884	22,2801	24,8418	22,7368	24,6564	22,2587	25,0265	21,9458	21,412	21,7675	21,446	21,9938	6	6	274	274	34577	10524	1736200000	77	O00487	O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	95
21,616	21,869	22,4843	23,7386	22,1875	23,3862	23,9626	24,2524	23,9288	22,7691	24,2562	19,9844	24,4874	21,8853	24,3348	24,3853	23,7218	24,3948	23,751	23,8822	24,2136	24,0476	22,0935	24,3512	23,6287	24,5366	24,921	24,7947	24,7462	24,3005	25,2948	25,1541	24,5626	21,9522	25,1091	24,9792	23,6129	24,7312	24,1777	24,9958	21,6668	22,0695	21,5382	21,6774	21,9685	9	8	255	228	5781	30964	1599000000	120	O00505	O00505	Importin subunit alpha-4	KPNA3	96
25,431	23,3009	24,0581	23,2581	23,2273	24,4153	24,0319	23,2627	22,0378	23,2565	21,7632	20,5289	24,122	21,9966	23,3918	23,8249	22,7339	22,6508	23,1861	23,8696	23,4731	23,8243	23,0853	23,6518	21,5285	24,1175	23,7517	24,0309	23,8083	21,8013	23,8602	23,4324	21,6607	22,4767	22,8369	23,7835	21,9783	23,6875	21,8838	23,2692	25,8964	23,1487	22,7642	24,1007	24,0797	10	10	209	209	68002	19322	1068600000	117	O00541;O00541-2	O00541;O00541-2	Pescadillo homolog	PES1	97
22,6842	21,2938	23,3112	21,6887	22,1441	21,9624	22,5525	22,3888	21,8515	21,7973	22,316	19,9994	22,5484	23,2205	21,3568	23,4511	24,3651	24,0654	23,6503	23,0198	23,3202	23,7961	22,1692	23,6873	23,4409	22,8515	24,2626	22,0171	22,9052	23,3774	23,4658	22,2837	22,19	22,1085	22,4308	24,0441	22,3799	23,2886	22,8993	22,2173	22,0107	22,2963	22,9408	22,1318	23,3239	5	1	305	6	32444	38469	557900000	52	O00560;O00560-3	O00560;O00560-3	Syntenin-1	SDCBP	98
25,6846	25,1464	26,3341	25,2286	25,1795	25,7985	25,8103	25,8463	25,6203	25,7907	25,931	22,719	26,5676	24,8105	25,4253	26,1577	25,8804	27,0773	26,1705	26,1214	26,4432	26,477	25,0943	26,7111	26,4353	27,2738	27,4351	26,9585	26,951	26,4468	27,3699	27,2211	26,5575	25,1837	26,8799	27,0645	25,7915	27,0365	26,1187	26,476	25,6977	25,0073	25,3287	26,1455	26,0511	26	26	498	498	66049	2003	19019000000	551	O00567	O00567	Nucleolar protein 56	NOP56	100
25,9065	26,3774	27,2117	26,289	26,8461	26,5105	26,563	26,7572	26,8618	26,5204	27,1257	23,8681	27,2762	26,1144	26,9133	27,5899	27,7238	27,6473	26,9604	26,8943	27,1339	27,27	26,1624	27,4751	27,0314	27,663	27,8931	27,8236	27,6593	27,8144	28,4183	28,1162	27,6084	26,3853	28,1015	27,9033	26,8642	27,6812	27,2025	27,5908	25,5876	26,4681	26,4559	26,51	26,5536	25	24	449	432	71354	2559	19405000000	585	O00571-2;O00571;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	O00571-2;O00571;O15523-2;O15523	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	101
21,5703	22,0377	24,1469	22,3386	23,4819	23,9504	23,1818	23,3076	23,3516	21,595	24,2065	22,198	24,4909	21,802	24,5982	24,491	23,7485	24,6694	23,612	24,0455	24,1489	24,0214	22,2634	24,3836	23,3742	24,5892	24,5756	24,7759	24,4322	24,4564	24,946	24,8667	24,3905	22,9923	25,0889	24,6918	23,811	24,6026	23,7345	24,9732	21,4257	22,8861	22,8322	24,0808	23,3998	8	7	326	299	57886	49805	1703400000	158	O00629	O00629	Importin subunit alpha-3	KPNA4	102
21,24	21,4979	22,8634	20,9686	21,4185	21,8503	21,3967	22,9393	22,2772	22,0129	21,5089	20,1969	23,1564	22,6458	22,0445	22,9446	23,1832	22,0862	21,4297	22,0087	22,2768	22,3846	21,6702	21,6951	22,0436	22,4263	23,4661	23,3042	22,9039	21,7134	21,4341	22,4154	22,8291	22,3072	24,2185	22,6642	21,227	22,236	22,3924	22,7025	21,2054	21,4915	22,0809	21,8355	22,381	5	5	64	64	11361	17277	202760000	27	O00754-2;O00754	O00754-2;O00754	Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	105
22,2274	21,348	22,918	21,5498	22,797	22,4712	22,9758	21,8893	21,4767	22,5382	22,5253	20,2747	23,0866	22,8838	23,6037	24,1754	24,2453	21,7897	22,3356	22,0124	22,0137	23,5037	22,0807	21,5732	23,9303	23,7309	23,7779	23,7328	23,8049	24,2003	24,2271	22,3995	23,1784	22,9334	24,6307	23,8538	21,6804	22,1596	23,9423	24,4954	21,3003	21,3668	21,9385	21,7909	22,5481	6	6	272	272	35102	87113	552150000	59	O00764;O00764-2;O00764-3	O00764;O00764-2;O00764-3	Pyridoxal kinase	PDXK	106
21,4927	20,7709	22,5355	22,0393	23,0887	23,0447	21,6976	22,2729	22,3569	22,585	22,7024	20,8142	25,5422	21,139	24,2891	22,7261	21,7018	23,1963	22,467	22,5006	22,2024	21,8325	21,0657	21,7777	20,8372	22,3485	21,8746	22,6993	22,4788	22,9011	22,6132	23,0878	25,0993	21,1425	23,3996	22,0832	21,4888	21,9057	22,3491	23,0902	22,1929	22,8011	22,0166	22,4469	22,5821	4	4	261	261	32156	16701	812480000	30	O14494;O14494-2	O14494;O14494-2	Lipid phosphate phosphohydrolase 1	PPAP2A	108
24,4062	23,7607	24,8187	23,5068	23,7296	24,8093	24,6148	25,1277	24,927	25,5268	24,9194	20,4938	25,6367	24,8546	24,4604	25,9451	25,3464	26,1932	25,3355	25,7276	25,8151	25,2361	23,5909	25,8749	25,9922	26,2061	26,3457	26,5309	26,2587	26,221	26,2044	26,6528	26,1302	23,8432	24,6937	25,0285	25,0661	26,1967	25,4354	25,2435	24,4631	23,495	23,4555	25,1773	25,1955	8	8	286	286	35116	39556	5507100000	173	O14495	O14495	Lipid phosphate phosphohydrolase 3	PPAP2B	109
